Datum und Uhrzeit,Energie Pro Wechselrichter|Primo 5.0-1 (1) (# 1),Energie Pro Wechselrichter pro kWp|Primo 5.0-1 (1) (# 1),Gesamtanlage,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
04.05.2020,20.48,3.66,20.48,
05.05.2020,28.06,5.01,28.06,
06.05.2020,36.51,6.52,36.51,
07.05.2020,31.69,5.66,31.69,
08.05.2020,33.59,6.00,33.59,
09.05.2020,33.91,6.06,33.91,
10.05.2020,24.12,4.31,24.12,
11.05.2020,34.89,6.23,34.89,
12.05.2020,16.35,2.92,16.35,
13.05.2020,25.47,4.55,25.47,
14.05.2020,25.82,4.61,25.82,
15.05.2020,21.95,3.92,21.95,
16.05.2020,21.62,3.86,21.62,
17.05.2020,29.02,5.18,29.02,
18.05.2020,22.47,4.01,22.47,
19.05.2020,22.09,3.94,22.09,
20.05.2020,18.76,3.35,18.76,
21.05.2020,32.98,5.89,32.98,
22.05.2020,8.04,1.44,8.04,
23.05.2020,25.16,4.49,25.16,
24.05.2020,16.43,2.93,16.43,
25.05.2020,17.33,3.09,17.33,
26.05.2020,33.50,5.98,33.50,
27.05.2020,33.10,5.91,33.10,
28.05.2020,37.06,6.62,37.06,
29.05.2020,35.72,6.38,35.72,
30.05.2020,35.93,6.42,35.93,
31.05.2020,31.92,5.70,31.92,
01.06.2020,34.81,6.22,34.81,
02.06.2020,33.34,5.95,33.34,
03.06.2020,23.17,4.14,23.17,
04.06.2020,9.89,1.77,9.89,
05.06.2020,18.26,3.26,18.26,
06.06.2020,25.26,4.51,25.26,
07.06.2020,17.71,3.16,17.71,
08.06.2020,22.54,4.02,22.54,
09.06.2020,22.54,4.03,22.54,
10.06.2020,14.80,2.64,14.80,
11.06.2020,4.64,0.83,4.64,
12.06.2020,19.23,3.43,19.23,
13.06.2020,26.28,4.69,26.28,
14.06.2020,5.50,0.98,5.50,
15.06.2020,25.38,4.53,25.38,
16.06.2020,26.29,4.69,26.29,
17.06.2020,30.20,5.39,30.20,
18.06.2020,11.15,1.99,11.15,
19.06.2020,30.83,5.50,30.83,
20.06.2020,27.74,4.95,27.74,
21.06.2020,32.73,5.85,32.73,
22.06.2020,34.38,6.14,34.38,
23.06.2020,34.71,6.20,34.71,
24.06.2020,34.89,6.23,34.89,
25.06.2020,30.65,5.47,30.65,
26.06.2020,34.88,6.23,34.88,
27.06.2020,19.62,3.50,19.62,
28.06.2020,20.06,3.58,20.06,
29.06.2020,21.50,3.84,21.50,
30.06.2020,10.41,1.86,10.41,
01.07.2020,24.97,4.46,24.97,
02.07.2020,11.77,2.10,11.77,
03.07.2020,21.04,3.76,21.04,
04.07.2020,5.79,1.03,5.79,
05.07.2020,12.18,2.18,12.18,
06.07.2020,25.14,4.49,25.14,
07.07.2020,14.38,2.57,14.38,
08.07.2020,10.97,1.96,10.97,
09.07.2020,7.81,1.39,7.81,
10.07.2020,13.76,2.46,13.76,
11.07.2020,28.45,5.08,28.45,
12.07.2020,30.88,5.51,30.88,
13.07.2020,35.15,6.28,35.15,
14.07.2020,8.77,1.57,8.77,
15.07.2020,10.70,1.91,10.70,
16.07.2020,26.40,4.71,26.40,
17.07.2020,30.01,5.36,30.01,
18.07.2020,28.34,5.06,28.34,
19.07.2020,21.55,3.85,21.55,
20.07.2020,27.49,4.91,27.49,
21.07.2020,27.81,4.97,27.81,
22.07.2020,23.94,4.28,23.94,
23.07.2020,18.97,3.39,18.97,
24.07.2020,21.65,3.87,21.65,
25.07.2020,19.93,3.56,19.93,
26.07.2020,25.35,4.53,25.35,
27.07.2020,14.04,2.51,14.04,
28.07.2020,21.17,3.78,21.17,
29.07.2020,19.60,3.50,19.60,
30.07.2020,27.46,4.90,27.46,
31.07.2020,32.12,5.74,32.12,
01.08.2020,21.71,3.88,21.71,
02.08.2020,24.47,4.37,24.47,
03.08.2020,11.11,1.98,11.11,
04.08.2020,26.02,4.65,26.02,
05.08.2020,33.63,6.00,33.63,
06.08.2020,32.44,5.79,32.44,
07.08.2020,31.98,5.71,31.98,
08.08.2020,30.20,5.39,30.20,
09.08.2020,22.61,4.04,22.61,
10.08.2020,30.57,5.46,30.57,
11.08.2020,31.21,5.57,31.21,
12.08.2020,30.23,5.40,30.23,
13.08.2020,30.30,5.41,30.30,
14.08.2020,19.46,3.48,19.46,
15.08.2020,30.17,5.39,30.17,
16.08.2020,30.25,5.40,30.25,
17.08.2020,10.69,1.91,10.69,
18.08.2020,25.61,4.57,25.61,
19.08.2020,29.15,5.21,29.15,
20.08.2020,14.21,2.54,14.21,
21.08.2020,20.10,3.59,20.10,
22.08.2020,21.52,3.84,21.52,
23.08.2020,18.51,3.31,18.51,
24.08.2020,10.80,1.93,10.80,
25.08.2020,12.03,2.15,12.03,
26.08.2020,12.59,2.25,12.59,
27.08.2020,17.47,3.12,17.47,
28.08.2020,16.74,2.99,16.74,
29.08.2020,16.71,2.98,16.71,
30.08.2020,28.87,5.16,28.87,
31.08.2020,21.47,3.83,21.47,
01.09.2020,29.70,5.30,29.70,
02.09.2020,22.72,4.06,22.72,
03.09.2020,3.87,0.69,3.87,
04.09.2020,22.21,3.97,22.21,
05.09.2020,21.80,3.89,21.80,
06.09.2020,21.85,3.90,21.85,
07.09.2020,20.27,3.62,20.27,
08.09.2020,7.45,1.33,7.45,
09.09.2020,5.55,0.99,5.55,
10.09.2020,21.35,3.81,21.35,
11.09.2020,22.01,3.93,22.01,
12.09.2020,14.78,2.64,14.78,
13.09.2020,23.21,4.14,23.21,
14.09.2020,28.78,5.14,28.78,
15.09.2020,27.06,4.83,27.06,
16.09.2020,17.58,3.14,17.58,
17.09.2020,28.49,5.09,28.49,
18.09.2020,31.67,5.65,31.67,
19.09.2020,30.22,5.40,30.22,
20.09.2020,29.97,5.35,29.97,
21.09.2020,29.35,5.24,29.35,
22.09.2020,27.29,4.87,27.29,
23.09.2020,22.29,3.98,22.29,
24.09.2020,23.17,4.14,23.17,
25.09.2020,22.12,3.95,22.12,
26.09.2020,12.94,2.31,12.94,
27.09.2020,4.10,0.73,4.10,
28.09.2020,2.39,0.43,2.39,
29.09.2020,3.48,0.62,3.48,
30.09.2020,16.53,2.95,16.53,
